feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
f0,Dutch,0.808612004061492,0.00635314384654563,0.796156714020142,0.821067294102841,common language effect size,26
-|Δf0|,Dutch,0.736688482416907,0.0073484596810458,0.722281013595946,0.751095951237869,common language effect size,26
Spectral centroid,Dutch,0.53113420046487,0.00937340839405064,0.512756051247408,0.549512349682332,common language effect size,26
f0,Spanish,0.911910248377951,0.00428088369798694,0.903517008320926,0.920303488434975,common language effect size,27
-|Δf0|,Spanish,0.520011847748094,0.00850652145771521,0.503334980294172,0.536688715202015,common language effect size,27
Spectral centroid,Spanish,0.722116295293118,0.00819415979703265,0.706050604067604,0.738181986518632,common language effect size,27
f0,Punjabi,0.946719194133743,0.00287222942173179,0.941088080064374,0.952350308203111,common language effect size,28
-|Δf0|,Punjabi,0.773160803807599,0.00673261974973503,0.75996089292118,0.786360714694019,common language effect size,28
Spectral centroid,Punjabi,0.370223434010131,0.00887629219809061,0.352820850780732,0.387626017239531,common language effect size,28
f0,HainanHua,0.947383094269615,0.00298773302670318,0.941525646749443,0.953240541789787,common language effect size,29
-|Δf0|,HainanHua,0.730772711242251,0.00654317831648788,0.717945647952627,0.743599774531874,common language effect size,29
Spectral centroid,HainanHua,0.706880923875218,0.0089914614163897,0.689249661242527,0.724512186507908,common language effect size,29
f0,Williche,0.949216339687831,0.00287745631719325,0.943575247209615,0.954857432166046,common language effect size,30
-|Δf0|,Williche,0.593218806539511,0.00805006727892059,0.5774369996666,0.609000613412423,common language effect size,30
Spectral centroid,Williche,0.518053624696981,0.00918157041807277,0.500052192901272,0.53605505649269,common language effect size,30
f0,Euskara,0.864097497590395,0.00584818529556697,0.852631299129849,0.875563696050942,common language effect size,31
-|Δf0|,Euskara,0.645318975413084,0.00941244582649834,0.626863154697129,0.66377479612904,common language effect size,31
Spectral centroid,Euskara,0.523040396167269,0.00922920842747636,0.504945961530338,0.541134830804201,common language effect size,31
f0,Danish,0.869179854141423,0.00500132535397653,0.859374861159839,0.878984847123008,common language effect size,32
-|Δf0|,Danish,0.715349534761437,0.00756797642758325,0.700512192327311,0.730186877195562,common language effect size,32
Spectral centroid,Danish,0.349154817528824,0.00861969029483107,0.332255415717763,0.366054219339886,common language effect size,32
f0,Hebrew,0.835846419382652,0.00554391047430536,0.824977887727769,0.846714951037535,common language effect size,33
-|Δf0|,Hebrew,0.690770429608962,0.00761808617607163,0.675834640839667,0.705706218378257,common language effect size,33
Spectral centroid,Hebrew,0.199787974263499,0.0075277647650248,0.185027526585013,0.214548421941984,common language effect size,33
f0,IsiXhosa,0.968988103919611,0.00271483589110699,0.963664620234621,0.974311587604601,common language effect size,34
-|Δf0|,IsiXhosa,0.684203007490679,0.00724136719544294,0.670006595749128,0.698399419232229,common language effect size,34
Spectral centroid,IsiXhosa,0.738543610922558,0.0082131908384449,0.722440597631051,0.754646624214064,common language effect size,34
f0,Turkish,0.900610425037368,0.00428710001241891,0.892205248541415,0.909015601533321,common language effect size,35
-|Δf0|,Turkish,0.754082056681621,0.00696679203567984,0.740423749712489,0.767740363650753,common language effect size,35
Spectral centroid,Turkish,0.339107926221336,0.00850920829666537,0.3224248861891,0.355790966253572,common language effect size,35
f0,Ukrainian,0.824369437274297,0.00608218384366659,0.812445523091341,0.836293351457252,common language effect size,36
-|Δf0|,Ukrainian,0.743319336892227,0.00698739005568696,0.729620608835969,0.757018064948486,common language effect size,36
Spectral centroid,Ukrainian,0.405259617016912,0.00895455978154961,0.387703672690823,0.422815561343002,common language effect size,36
f0,Marathi,0.871315956343838,0.00618774885867816,0.859181848642787,0.88345006404489,common language effect size,37
-|Δf0|,Marathi,0.772916384892671,0.00712984951213194,0.75893812955121,0.786894640234132,common language effect size,37
Spectral centroid,Marathi,0.646870611905577,0.00862675477633548,0.629957312140358,0.663783911670795,common language effect size,37
f0,English,0.964129522065815,0.002220103296007,0.959776753763232,0.968482290368399,common language effect size,38
-|Δf0|,English,0.702081220365599,0.00777709454865504,0.686833441568806,0.717328999162393,common language effect size,38
Spectral centroid,English,0.65291958041958,0.00890460548635684,0.635460336975031,0.67037882386413,common language effect size,38
f0,French,0.883452379068001,0.00462988935554342,0.874374793075862,0.892529965060139,common language effect size,39
-|Δf0|,French,0.701701859355873,0.00713208927235644,0.68771951193938,0.715684206772367,common language effect size,39
