feature,name,lang,sex,type,mean,std,groupid
f0,Pitch height,Kannada,F,desc,-953.754228499922,557.889533035435,43
-|Δf0|,Pitch stability,Kannada,F,desc,-1873.61680548869,1781.45956523138,43
Spectral centroid,Timbral brightness,Kannada,F,desc,1160.92015694934,1262.21337734452,43
f0,Pitch height,Kannada,F,song,-1162.76251310031,369.602621351028,44
-|Δf0|,Pitch stability,Kannada,F,song,-2072.67440717977,1705.88502985151,44
Spectral centroid,Timbral brightness,Kannada,F,song,620.2919376983,575.151258670804,44
f0,Pitch height,Kannada,F,desc,-1343.19631889541,284.865081360357,44
-|Δf0|,Pitch stability,Kannada,F,desc,-1773.19440802258,1818.17785137163,44
Spectral centroid,Timbral brightness,Kannada,F,desc,558.485895751877,425.056718849932,44
f0,Pitch height,Polish,F,song,-690.956609452303,151.112860805414,45
-|Δf0|,Pitch stability,Polish,F,song,-1874.54782961961,1701.32561501315,45
Spectral centroid,Timbral brightness,Polish,F,song,904.377587461259,971.511823379627,45
f0,Pitch height,Polish,F,desc,-1285.63359912929,810.220120310921,45
-|Δf0|,Pitch stability,Polish,F,desc,-2527.22427655294,2126.13209393428,45
Spectral centroid,Timbral brightness,Polish,F,desc,1587.86438098458,2077.24069222034,45
f0,Pitch height,Polish,F,song,-1143.06729156298,291.171348026908,46
-|Δf0|,Pitch stability,Polish,F,song,-2646.59393006205,2554.79299579422,46
Spectral centroid,Timbral brightness,Polish,F,song,1008.81411036726,1624.49150093481,46
f0,Pitch height,Polish,F,desc,-1161.13326075799,323.257067087085,46
-|Δf0|,Pitch stability,Polish,F,desc,-4974.95002186171,4711.39910608699,46
Spectral centroid,Timbral brightness,Polish,F,desc,1738.32338113239,2006.03067480659,46
f0,Pitch height,Polish,F,song,-910.496806097762,394.691027310513,47
-|Δf0|,Pitch stability,Polish,F,song,-2456.51712570672,2164.82603202283,47
Spectral centroid,Timbral brightness,Polish,F,song,1216.8613542509,1677.04972914848,47
f0,Pitch height,Polish,F,desc,-1130.35598729389,309.14972672791,47
-|Δf0|,Pitch stability,Polish,F,desc,-3459.0525639507,3286.39090310186,47
Spectral centroid,Timbral brightness,Polish,F,desc,1331.07006829998,1689.88221712848,47
f0,Pitch height,Polish,F,song,-683.98402647972,295.865116966795,48
