feature,experiment,datalang,sex,type_m,type_l,annotator,annotatorlang,p,tau
IOI rate,With texts,Farsi,f,inst,desc,Dhwani,Marathi,0.951734539969834,0.0286121439319454
f0 ratio,With texts,Farsi,f,inst,desc,Dhwani,Marathi,0.50288950782921,0.00164221591665594
Sign of f0 slope,With texts,Farsi,f,inst,desc,Dhwani,Marathi,0.5,0
IOI rate,With texts,Farsi,f,inst,desc,Shafagh,Farsi,0.963235294117647,0.0240301866690888
f0 ratio,With texts,Farsi,f,inst,desc,Shafagh,Farsi,0.495905817618204,0.00169203986611265
Sign of f0 slope,With texts,Farsi,f,inst,desc,Shafagh,Farsi,0.5,0
IOI rate,With texts,Farsi,f,inst,desc,Patrick,English,0.96078431372549,0.0237306493285366
f0 ratio,With texts,Farsi,f,inst,desc,Patrick,English,0.502615257305634,0.00162815628804752
Sign of f0 slope,With texts,Farsi,f,inst,desc,Patrick,English,1,0
IOI rate,With texts,Farsi,f,inst,desc,Yuto,Japanese,0.944045911047346,0.0317621266509388
f0 ratio,With texts,Farsi,f,inst,desc,Yuto,Japanese,0.433698302731767,0.00163659017799422
Sign of f0 slope,With texts,Farsi,f,inst,desc,Yuto,Japanese,NaN,NaN
IOI rate,With texts,Yoruba,f,inst,desc,Dhwani,Marathi,0.906666666666667,0.0515121145206332
f0 ratio,With texts,Yoruba,f,inst,desc,Dhwani,Marathi,0.398727724115908,0.00139825386767614
Sign of f0 slope,With texts,Yoruba,f,inst,desc,Dhwani,Marathi,0.5,0
IOI rate,With texts,Yoruba,f,inst,desc,Shafagh,Farsi,0.812169312169312,0.100678936384362
f0 ratio,With texts,Yoruba,f,inst,desc,Shafagh,Farsi,0.221055897165473,0.00217412347986477
Sign of f0 slope,With texts,Yoruba,f,inst,desc,Shafagh,Farsi,0.410714285714286,0.160714285714286
IOI rate,With texts,Yoruba,f,inst,desc,Florence,Yoruba,1,0
f0 ratio,With texts,Yoruba,f,inst,desc,Florence,Yoruba,0.273953746753319,0.00202478431213178
Sign of f0 slope,With texts,Yoruba,f,inst,desc,Florence,Yoruba,0.333333333333333,0.166666666666667
IOI rate,With texts,Yoruba,f,inst,desc,Patrick,English,1,0
f0 ratio,With texts,Yoruba,f,inst,desc,Patrick,English,0.278385409315482,0.00216893662955614
Sign of f0 slope,With texts,Yoruba,f,inst,desc,Patrick,English,0.333333333333333,0.166666666666667
IOI rate,With texts,Yoruba,f,inst,desc,Yuto,Japanese,0.993589743589744,0.00779841350038233
f0 ratio,With texts,Yoruba,f,inst,desc,Yuto,Japanese,0.271211669058612,0.00242828575307479
Sign of f0 slope,With texts,Yoruba,f,inst,desc,Yuto,Japanese,0.166666666666667,0.166666666666667
IOI rate,With texts,English,m,inst,desc,Dhwani,Marathi,0.854545454545454,0.0543386330670558
f0 ratio,With texts,English,m,inst,desc,Dhwani,Marathi,0.191433635990967,0.00153222118482301
Sign of f0 slope,With texts,English,m,inst,desc,Dhwani,Marathi,0.75,0.25
IOI rate,With texts,English,m,inst,desc,Shafagh,Farsi,0.7705078125,0.0772203004037756
f0 ratio,With texts,English,m,inst,desc,Shafagh,Farsi,0.244890884204299,0.00187935264337489
Sign of f0 slope,With texts,English,m,inst,desc,Shafagh,Farsi,0.583333333333333,0.300462606288666
IOI rate,With texts,English,m,inst,desc,Patrick,English,0.750865051903114,0.0789690784998809
f0 ratio,With texts,English,m,inst,desc,Patrick,English,0.230346224983975,0.00170970966509606
Sign of f0 slope,With texts,English,m,inst,desc,Patrick,English,0.333333333333333,0.166666666666667
IOI rate,With texts,English,m,inst,desc,Yuto,Japanese,0.745098039215686,0.0844753362521781
f0 ratio,With texts,English,m,inst,desc,Yuto,Japanese,0.247450170650886,0.00188247805394301
Sign of f0 slope,With texts,English,m,inst,desc,Yuto,Japanese,0.375,0.125
IOI rate,With texts,Japanese,m,inst,desc,Dhwani,Marathi,0.848214285714286,0.0456846114718524
f0 ratio,With texts,Japanese,m,inst,desc,Dhwani,Marathi,0.321202166224568,0.00181791169047688
Sign of f0 slope,With texts,Japanese,m,inst,desc,Dhwani,Marathi,NaN,NaN
IOI rate,With texts,Japanese,m,inst,desc,Shafagh,Farsi,0.848484848484849,0.0447345380338666
f0 ratio,With texts,Japanese,m,inst,desc,Shafagh,Farsi,0.286693331114303,0.00235144838016158
Sign of f0 slope,With texts,Japanese,m,inst,desc,Shafagh,Farsi,0.857142857142857,0.0922138891954147
IOI rate,With texts,Japanese,m,inst,desc,Patrick,English,0.894071914480078,0.0377145670481005
f0 ratio,With texts,Japanese,m,inst,desc,Patrick,English,0.413015985619499,0.00198769439055511
Sign of f0 slope,With texts,Japanese,m,inst,desc,Patrick,English,1,0
IOI rate,With texts,Japanese,m,inst,desc,Yuto,Japanese,0.880952380952381,0.040215024365713
f0 ratio,With texts,Japanese,m,inst,desc,Yuto,Japanese,0.363407225027163,0.00198903320785106
Sign of f0 slope,With texts,Japanese,m,inst,desc,Yuto,Japanese,1,0
IOI rate,Reannotation,Marathi,m,song,desc,Dhwani,Marathi,0.925490196078431,0.0360125504269452
f0 ratio,Reannotation,Marathi,m,song,desc,Dhwani,Marathi,0.755576889640168,0.00177139908506804
Sign of f0 slope,Reannotation,Marathi,m,song,desc,Dhwani,Marathi,0,0
IOI rate,Reannotation,Farsi,f,song,desc,Shafagh,Farsi,0.957871396895787,0.0283041841097356
f0 ratio,Reannotation,Farsi,f,song,desc,Shafagh,Farsi,0.448626990252142,0.00122458845901809
Sign of f0 slope,Reannotation,Farsi,f,song,desc,Shafagh,Farsi,0.5,0
IOI rate,Reannotation,English,m,song,desc,Patrick,English,0.766339869281046,0.0766510257980989
f0 ratio,Reannotation,English,m,song,desc,Patrick,English,0.425114300629962,0.00193111995742251
Sign of f0 slope,Reannotation,English,m,song,desc,Patrick,English,0.65,0.269258240356725
IOI rate,Reannotation,Japanese,m,song,desc,Yuto,Japanese,0.898897058823529,0.0379359323269834
f0 ratio,Reannotation,Japanese,m,song,desc,Yuto,Japanese,0.610326087044989,0.00190045729548218
Sign of f0 slope,Reannotation,Japanese,m,song,desc,Yuto,Japanese,0.75,0.25
IOI rate,Reannotation,Marathi,m,song,recit,Dhwani,Marathi,0.946236559139785,0.0301550352986544
f0 ratio,Reannotation,Marathi,m,song,recit,Dhwani,Marathi,0.610535588763205,0.00233469279764913
Sign of f0 slope,Reannotation,Marathi,m,song,recit,Dhwani,Marathi,0.166666666666667,0.166666666666667
IOI rate,Reannotation,Farsi,f,song,recit,Shafagh,Farsi,0.982142857142857,0.0158787540461117
f0 ratio,Reannotation,Farsi,f,song,recit,Shafagh,Farsi,0.665054410851589,0.00144748287235709
Sign of f0 slope,Reannotation,Farsi,f,song,recit,Shafagh,Farsi,1,0
IOI rate,Reannotation,English,m,song,recit,Patrick,English,0.810810810810811,0.0670043103599499
f0 ratio,Reannotation,English,m,song,recit,Patrick,English,0.366299822496187,0.00210009490922662
Sign of f0 slope,Reannotation,English,m,song,recit,Patrick,English,0.5,0.288675134594813
IOI rate,Reannotation,Japanese,m,song,recit,Yuto,Japanese,0.95244055068836,0.0236665064527736
f0 ratio,Reannotation,Japanese,m,song,recit,Yuto,Japanese,0.693589296131451,0.00179593489658708
Sign of f0 slope,Reannotation,Japanese,m,song,recit,Yuto,Japanese,0.416666666666667,0.300462606288666
IOI rate,Reannotation,Marathi,m,inst,desc,Dhwani,Marathi,0.897058823529412,0.0421178944818126
f0 ratio,Reannotation,Marathi,m,inst,desc,Dhwani,Marathi,0.557456189769742,0.001931677294205
Sign of f0 slope,Reannotation,Marathi,m,inst,desc,Dhwani,Marathi,0.166666666666667,0.166666666666667
IOI rate,Reannotation,Farsi,f,inst,desc,Shafagh,Farsi,0.930894308943089,0.033541395600776
f0 ratio,Reannotation,Farsi,f,inst,desc,Shafagh,Farsi,0.400126227742538,0.00111343787561442
Sign of f0 slope,Reannotation,Farsi,f,inst,desc,Shafagh,Farsi,0.5,0
IOI rate,Reannotation,English,m,inst,desc,Patrick,English,0.752595155709343,0.0771768637738396
f0 ratio,Reannotation,English,m,inst,desc,Patrick,English,0.24893834303759,0.00185136196630006
Sign of f0 slope,Reannotation,English,m,inst,desc,Patrick,English,0.4,0.1
IOI rate,Reannotation,Japanese,m,inst,desc,Yuto,Japanese,0.871527777777778,0.0414142931445051
f0 ratio,Reannotation,Japanese,m,inst,desc,Yuto,Japanese,0.410331066908823,0.00194525957111848
Sign of f0 slope,Reannotation,Japanese,m,inst,desc,Yuto,Japanese,NaN,NaN
IOI rate,Automated,Marathi,m,song,desc,Jong_Wempe_2008,n/a,0.624228395061728,0.0680591297897236
f0 ratio,Automated,Marathi,m,song,desc,Jong_Wempe_2008,n/a,0.444414451657319,0.00209220460782528
Sign of f0 slope,Automated,Marathi,m,song,desc,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Marathi,m,song,desc,Prosogram,n/a,0.642361111111111,0.0728511942187052
f0 ratio,Automated,Marathi,m,song,desc,Prosogram,n/a,0.598363823418955,0.00191376960777783
Sign of f0 slope,Automated,Marathi,m,song,desc,Prosogram,n/a,0.5,0
IOI rate,Automated,Farsi,f,song,desc,Jong_Wempe_2008,n/a,0.765625,0.0796274758805884
f0 ratio,Automated,Farsi,f,song,desc,Jong_Wempe_2008,n/a,0.590302277712982,0.00198736506689442
Sign of f0 slope,Automated,Farsi,f,song,desc,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,Farsi,f,song,desc,Prosogram,n/a,0.79093799682035,0.0681075609283156
f0 ratio,Automated,Farsi,f,song,desc,Prosogram,n/a,0.432665849854398,0.00166249028638697
Sign of f0 slope,Automated,Farsi,f,song,desc,Prosogram,n/a,1,0
IOI rate,Automated,Yoruba,f,song,desc,Jong_Wempe_2008,n/a,0.547619047619048,0.073255618451513
f0 ratio,Automated,Yoruba,f,song,desc,Jong_Wempe_2008,n/a,0.334041213261843,0.00179308868571649
Sign of f0 slope,Automated,Yoruba,f,song,desc,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Yoruba,f,song,desc,Prosogram,n/a,0.647509578544061,0.0757102890407368
f0 ratio,Automated,Yoruba,f,song,desc,Prosogram,n/a,0.442655436813258,0.00171421306719711
Sign of f0 slope,Automated,Yoruba,f,song,desc,Prosogram,n/a,0.5,0
IOI rate,Automated,English,m,song,desc,Jong_Wempe_2008,n/a,0.664609053497942,0.0690331652759054
f0 ratio,Automated,English,m,song,desc,Jong_Wempe_2008,n/a,0.444527688416044,0.00165461015626526
Sign of f0 slope,Automated,English,m,song,desc,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,English,m,song,desc,Prosogram,n/a,0.708333333333333,0.0857108353694597
f0 ratio,Automated,English,m,song,desc,Prosogram,n/a,0.480859821654661,0.001662256320397
Sign of f0 slope,Automated,English,m,song,desc,Prosogram,n/a,1,0
IOI rate,Automated,Japanese,m,song,desc,Jong_Wempe_2008,n/a,0.543572984749455,0.0775075280670909
f0 ratio,Automated,Japanese,m,song,desc,Jong_Wempe_2008,n/a,0.492245162061899,0.00175051779508178
Sign of f0 slope,Automated,Japanese,m,song,desc,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,Japanese,m,song,desc,Prosogram,n/a,0.649901380670611,0.0736392447260989
f0 ratio,Automated,Japanese,m,song,desc,Prosogram,n/a,0.46166493775743,0.0016449464084647
Sign of f0 slope,Automated,Japanese,m,song,desc,Prosogram,n/a,1,0
IOI rate,Automated,Marathi,m,song,recit,Jong_Wempe_2008,n/a,0.538530465949821,0.0719728268030408
f0 ratio,Automated,Marathi,m,song,recit,Jong_Wempe_2008,n/a,0.320078948255721,0.00191141305974091
Sign of f0 slope,Automated,Marathi,m,song,recit,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Marathi,m,song,recit,Prosogram,n/a,0.518472906403941,0.0782340244703581
f0 ratio,Automated,Marathi,m,song,recit,Prosogram,n/a,0.443416311768501,0.00185244169140992
Sign of f0 slope,Automated,Marathi,m,song,recit,Prosogram,n/a,0.5,0
IOI rate,Automated,Farsi,f,song,recit,Jong_Wempe_2008,n/a,0.785714285714286,0.0757540451093042
f0 ratio,Automated,Farsi,f,song,recit,Jong_Wempe_2008,n/a,0.756779061241942,0.00129871757297268
Sign of f0 slope,Automated,Farsi,f,song,recit,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,Farsi,f,song,recit,Prosogram,n/a,0.628151260504202,0.102337379171397
f0 ratio,Automated,Farsi,f,song,recit,Prosogram,n/a,0.604410452840805,0.00145971309308383
Sign of f0 slope,Automated,Farsi,f,song,recit,Prosogram,n/a,1,0
IOI rate,Automated,Yoruba,f,song,recit,Jong_Wempe_2008,n/a,0.444444444444444,0.074747454859497
f0 ratio,Automated,Yoruba,f,song,recit,Jong_Wempe_2008,n/a,0.33053565077171,0.0018007436325446
Sign of f0 slope,Automated,Yoruba,f,song,recit,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Yoruba,f,song,recit,Prosogram,n/a,0.441919191919192,0.0847556017238941
f0 ratio,Automated,Yoruba,f,song,recit,Prosogram,n/a,0.36875565156608,0.00159755228755051
Sign of f0 slope,Automated,Yoruba,f,song,recit,Prosogram,n/a,0.5,0
IOI rate,Automated,English,m,song,recit,Jong_Wempe_2008,n/a,0.61522633744856,0.0734904964139982
f0 ratio,Automated,English,m,song,recit,Jong_Wempe_2008,n/a,0.348175676770151,0.00173789040380546
Sign of f0 slope,Automated,English,m,song,recit,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,English,m,song,recit,Prosogram,n/a,0.678571428571429,0.0869813152796415
f0 ratio,Automated,English,m,song,recit,Prosogram,n/a,0.314981602621623,0.00166181175458624
Sign of f0 slope,Automated,English,m,song,recit,Prosogram,n/a,0.5,0
IOI rate,Automated,Japanese,m,song,recit,Jong_Wempe_2008,n/a,0.603815937149271,0.07398764935953
f0 ratio,Automated,Japanese,m,song,recit,Jong_Wempe_2008,n/a,0.552984480991137,0.0017909944859255
Sign of f0 slope,Automated,Japanese,m,song,recit,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,Japanese,m,song,recit,Prosogram,n/a,0.707100591715976,0.0686638974881934
f0 ratio,Automated,Japanese,m,song,recit,Prosogram,n/a,0.563200284117247,0.00174641412181266
Sign of f0 slope,Automated,Japanese,m,song,recit,Prosogram,n/a,1,0
IOI rate,Automated,Marathi,m,inst,desc,Jong_Wempe_2008,n/a,0.539021164021164,0.0675564708023523
f0 ratio,Automated,Marathi,m,inst,desc,Jong_Wempe_2008,n/a,0.309611129854868,0.00169029717714349
