feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
Spectral centroid,Lithuanian,0.610303684239367,0.00646476193561154,0.597630114993746,0.622977253484989,common language effect size,44
f0,Korean,0.834764755710614,0.00807924740174893,0.818921615017843,0.850607896403386,common language effect size,45
-|Δf0|,Korean,0.746122094442291,0.00987271084063059,0.726761839068208,0.765482349816373,common language effect size,45
Spectral centroid,Korean,0.643137777049784,0.00664668663050034,0.630108243839475,0.656167310260093,common language effect size,45
f0,Farsi,0.95879115954455,0.00393758264493,0.951069089695968,0.966513229393132,common language effect size,46
-|Δf0|,Farsi,0.543480679894542,0.00984285777521948,0.524181917362947,0.562779442426137,common language effect size,46
Spectral centroid,Farsi,0.607240103220362,0.00535880242434324,0.59673570535227,0.617744501088455,common language effect size,46
f0,Persian,0.968179388932032,0.00173242093173887,0.964783408958509,0.971575368905556,common language effect size,47
-|Δf0|,Persian,0.610322804059946,0.0043918600914858,0.601714214599661,0.61893139352023,common language effect size,47
Spectral centroid,Persian,0.806099712470455,0.00206468468857047,0.802052878734854,0.810146546206055,common language effect size,47
f0,Kannada,0.926686849201105,0.00363689869705531,0.919556268337655,0.933817430064555,common language effect size,48
-|Δf0|,Kannada,0.689255690647311,0.00824158754040938,0.673095262201104,0.705416119093518,common language effect size,48
Spectral centroid,Kannada,0.586187829045419,0.00571736549791184,0.57497971129101,0.597395946799829,common language effect size,48
f0,Japanese,0.77574811013096,0.00830181610552482,0.759470434940497,0.792025785321423,common language effect size,49
-|Δf0|,Japanese,0.763778693082113,0.00890342360854299,0.746318646889622,0.781238739274605,common language effect size,49
Spectral centroid,Japanese,0.617166875237846,0.00604434811251783,0.605318542894264,0.629015207581429,common language effect size,49
f0,English,0.930061270334053,0.00578608283532,0.918713561189202,0.941408979478903,common language effect size,50
-|Δf0|,English,0.676041259144277,0.0120042836620396,0.652498676237269,0.699583842051284,common language effect size,50
Spectral centroid,English,0.587918187683379,0.0074607655904213,0.573291977746052,0.602544397620707,common language effect size,50
f0,Georgian,0.945863890073266,0.00279170001287043,0.940390872664311,0.95133690748222,common language effect size,51
-|Δf0|,Georgian,0.827312972415965,0.00475874804186228,0.817984410235688,0.836641534596243,common language effect size,51
Spectral centroid,Georgian,0.473853894751868,0.00391408668670437,0.466181923919521,0.481525865584214,common language effect size,51
f0,Puri,0.957450986498363,0.00832751270424113,0.941095638943193,0.973806334053534,common language effect size,52
-|Δf0|,Puri,0.774730797710742,0.0115023444588605,0.7521563567978,0.797305238623685,common language effect size,52
Spectral centroid,Puri,0.490605648930109,0.00708812911842154,0.476709244158929,0.504502053701289,common language effect size,52
f0,Norwegian,0.896818087613879,0.00726921623780833,0.882555675715785,0.911080499511973,common language effect size,53
-|Δf0|,Norwegian,0.728539184476682,0.0101858201288634,0.708562652244328,0.748515716709036,common language effect size,53
Spectral centroid,Norwegian,0.51903257357915,0.0068685605584621,0.505567386130241,0.532497761028059,common language effect size,53
f0,Kuikuro,0.835161974772748,0.00846058766896777,0.818567589395181,0.851756360150316,common language effect size,54
-|Δf0|,Kuikuro,0.482749339546143,0.0111858285895696,0.460815423397884,0.504683255694401,common language effect size,54
Spectral centroid,Kuikuro,0.477965898113776,0.00623006968743754,0.465753392277832,0.49017840394972,common language effect size,54
f0,Ainu,0.908474226122597,0.00710781535172595,0.894529696209721,0.922418756035473,common language effect size,55
-|Δf0|,Ainu,0.600993273505545,0.0139209327926518,0.573684725305534,0.628301821705555,common language effect size,55
Spectral centroid,Ainu,0.475867515577704,0.00797360292162331,0.460234845585505,0.491500185569902,common language effect size,55
