feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
-|Δf0|,Puri,0.933066275621626,0.0045693571818787,0.924104273779833,0.942028277463419,common language effect size,52
Spectral centroid,Puri,0.294266612198543,0.00852911676045645,0.277544621862113,0.310988602534973,common language effect size,52
f0,Norwegian,0.999744637385087,0.000361137273333273,NaN,NaN,common language effect size,53
-|Δf0|,Norwegian,0.999744637385087,0.000361137273333273,NaN,NaN,common language effect size,53
Spectral centroid,Norwegian,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,53
f0,Kuikuro,0.999596448748991,0.000570707652289385,NaN,NaN,common language effect size,54
-|Δf0|,Kuikuro,0.999596448748991,0.000570707652289385,NaN,NaN,common language effect size,54
Spectral centroid,Kuikuro,0.999622926093514,0.00053326303256904,NaN,NaN,common language effect size,54
f0,Ainu,0.99968671679198,0.000443049361645706,NaN,NaN,common language effect size,55
-|Δf0|,Ainu,0.99968671679198,0.000443049361645706,NaN,NaN,common language effect size,55
Spectral centroid,Ainu,0.999749624436655,0.000354084517369328,NaN,NaN,common language effect size,55
f0,Slovenian,0.999680511182109,0.000451825419288529,NaN,NaN,common language effect size,56
-|Δf0|,Slovenian,0.999680511182109,0.000451825419288529,NaN,NaN,common language effect size,56
Spectral centroid,Slovenian,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,56
f0,Portuguese,0.999794576828266,0.000290512235491597,NaN,NaN,common language effect size,57
-|Δf0|,Portuguese,0.999794576828266,0.000290512235491597,NaN,NaN,common language effect size,57
Spectral centroid,Portuguese,0.999745547073791,0.000359850779229795,NaN,NaN,common language effect size,57
f0,Polish,0.691467623980158,0.00951013195682238,0.672816005417469,0.710119242542847,common language effect size,58
-|Δf0|,Polish,0.92254971323513,0.00424259113640328,0.914229872408109,0.93086955406215,common language effect size,58
Spectral centroid,Polish,0.3297295,0.00892963735497673,0.312220513051938,0.347238486948062,common language effect size,58
f0,DutchFlemish,0.999999907366168,1.310040212692e-07,0.999999650533861,1.00000016419848,common language effect size,59
-|Δf0|,DutchFlemish,0.929230902053433,0.00417413262937658,0.921045208095278,0.937416596011587,common language effect size,59
Spectral centroid,DutchFlemish,0.508352520391478,0.0101927745093943,0.488363968674679,0.528341072108278,common language effect size,59
f0,Japanese,0.999999820166138,2.54323487016911e-07,0.999999321486747,1.00000031884553,common language effect size,60
-|Δf0|,Japanese,0.966554498292298,0.00286428616598961,0.960936613027502,0.972172383557093,common language effect size,60
Spectral centroid,Japanese,0.571994621001033,0.0135514169896276,0.545403131480391,0.598586110521676,common language effect size,60
f0,Guarani,0.999654696132597,0.000488333412421649,NaN,NaN,common language effect size,61
-|Δf0|,Guarani,0.999654696132597,0.000488333412421649,NaN,NaN,common language effect size,61
Spectral centroid,Guarani,0.999739175795514,0.000368861127379524,NaN,NaN,common language effect size,61
f0,Spanish,0.934796892328193,0.0038339311051043,0.927280197477492,0.942313587178894,common language effect size,62
-|Δf0|,Spanish,0.922113604582438,0.00409213237632746,0.914090022246332,0.930137186918544,common language effect size,62
Spectral centroid,Spanish,0.266731769728773,0.00791717847599298,0.251209668666433,0.282253870791112,common language effect size,62
f0,Dutch,0.999689054726368,0.000439743023125962,NaN,NaN,common language effect size,63
-|Δf0|,Dutch,0.999689054726368,0.000439743023125962,NaN,NaN,common language effect size,63
Spectral centroid,Dutch,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,63
f0,Cantonese,0.999999916879828,1.17549674058635e-07,0.999999686427924,1.00000014733173,common language effect size,64
-|Δf0|,Cantonese,0.840671930168416,0.00596009708193601,0.828986542350253,0.85235731798658,common language effect size,64
Spectral centroid,Cantonese,0.925236183107248,0.00567689363567848,0.914102956408885,0.93636940980561,common language effect size,64
f0,Burmese,0.999774368231047,0.000319091507755662,NaN,NaN,common language effect size,65
-|Δf0|,Burmese,0.999774368231047,0.000319091507755662,NaN,NaN,common language effect size,65
Spectral centroid,Burmese,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,65
f0,Rikbaktsa,0.999696417729205,0.000429330164654856,NaN,NaN,common language effect size,66
-|Δf0|,Rikbaktsa,0.999696417729205,0.000429330164654856,NaN,NaN,common language effect size,66
Spectral centroid,Rikbaktsa,0.99975,0.000353553390593274,NaN,NaN,common language effect size,66
f0,Gaeilge,0.999999921117768,1.11556322968873e-07,0.9999997024162,1.00000013981933,common language effect size,67
-|Δf0|,Gaeilge,0.880071871179635,0.00472611430825737,0.870806473401055,0.889337268958215,common language effect size,67
Spectral centroid,Gaeilge,0.655924495085334,0.00959371237499764,0.637111111839226,0.674737878331442,common language effect size,67
f0,Twi,0.999999879636551,1.70219622657348e-07,0.999999545899492,1.00000021337361,common language effect size,68
-|Δf0|,Twi,0.950542899338844,0.00371079611018924,0.943263744498963,0.957822054178725,common language effect size,68
Spectral centroid,Twi,0.869663283106934,0.00654398402640869,0.856831846797217,0.882494719416651,common language effect size,68
f0,Fante,0.999744114636643,0.000361876551272542,NaN,NaN,common language effect size,69
-|Δf0|,Fante,0.999744114636643,0.000361876551272542,NaN,NaN,common language effect size,69
Spectral centroid,Fante,0.99974974974975,0.000353907297891165,NaN,NaN,common language effect size,69
f0,Te Reo Māori,0.999730748519117,0.000380779095953984,NaN,NaN,common language effect size,70
-|Δf0|,Te Reo Māori,0.999730748519117,0.000380779095953984,NaN,NaN,common language effect size,70
Spectral centroid,Te Reo Māori,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,70
f0,Ngarigu,0.999782891880156,0.000307037247584259,NaN,NaN,common language effect size,71
-|Δf0|,Ngarigu,0.999782891880156,0.000307037247584259,NaN,NaN,common language effect size,71
Spectral centroid,Ngarigu,0.999722530521643,0.000392401099437596,NaN,NaN,common language effect size,71
f0,Dholuo,0.999999915798521,1.19078873072089e-07,0.999999682350036,1.00000014924701,common language effect size,72
-|Δf0|,Dholuo,0.772308255550814,0.00675871671722419,0.75905770419457,0.785558806907058,common language effect size,72
Spectral centroid,Dholuo,0.841194180603306,0.00690218409604815,0.827661571914906,0.854726789291706,common language effect size,72
f0,Tunisian,0.999999933465869,9.4093469966034e-08,0.99999974900325,1.00000011792849,common language effect size,73
-|Δf0|,Tunisian,0.792245846274222,0.00609608379624192,0.780295201407984,0.804196491140459,common language effect size,73
Spectral centroid,Tunisian,0.878757606030333,0.00630269472459518,0.86639759220069,0.891117619859976,common language effect size,73
