feature,lang,diff,stderr,ci95_l,ci95_u,method
f0,Azerbaijani,0.97846689864919,0.00164262842768433,0.975246721685167,0.981687075613214,common language effect size
-|Δf0|,Azerbaijani,0.876147010782427,0.00475705760799836,0.866820685309391,0.885473336255464,common language effect size
Spectral centroid,Azerbaijani,0.728049761171552,0.00897491822767825,0.710451769593976,0.745647752749128,common language effect size
f0,Urdu,0.999999909198022,1.28413388204341e-07,0.999999657446055,1.00000016094999,common language effect size
-|Δf0|,Urdu,0.939882916298011,0.00375789117480187,0.932515545815149,0.947250286780872,common language effect size
Spectral centroid,Urdu,0.22531175,0.00786776938032302,0.20988578560661,0.24073771439339,common language effect size
f0,Lithuanian,0.999999937882242,8.78477763565087e-08,0.999999765665999,1.00000011009848,common language effect size
-|Δf0|,Lithuanian,0.969353831199713,0.00230489200510758,0.964835376381179,0.973872286018246,common language effect size
Spectral centroid,Lithuanian,0.409779281657404,0.00952056141568453,0.391110203515093,0.428448359799714,common language effect size
f0,Korean,0.880938986300451,0.00445789132415233,0.872199670925248,0.889678301675655,common language effect size
-|Δf0|,Korean,0.973890402452436,0.00219204048191054,0.969592148386918,0.978188656517953,common language effect size
Spectral centroid,Korean,0.297542383231173,0.00827963864819103,0.28130901415308,0.313775752309266,common language effect size
f0,Farsi,0.999999930930297,9.76793106383018e-08,0.999999739439167,1.00000012242143,common language effect size
-|Δf0|,Farsi,0.958073447064427,0.00281930544413335,0.952546311817846,0.963600582311009,common language effect size
Spectral centroid,Farsi,0.715192378823082,0.00942131783905496,0.696718117700147,0.733666639946018,common language effect size
f0,Persian,0.99969512195122,0.000431162671455212,NaN,NaN,common language effect size
-|Δf0|,Persian,0.99969512195122,0.000431162671455212,NaN,NaN,common language effect size
Spectral centroid,Persian,0.999722376457524,0.000392618979004191,NaN,NaN,common language effect size
f0,Kannada,0.999769797421731,0.000325555608281099,NaN,NaN,common language effect size
-|Δf0|,Kannada,0.999769797421731,0.000325555608281099,NaN,NaN,common language effect size
Spectral centroid,Kannada,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size
f0,Japanese,0.999739311783107,0.000368668811880369,NaN,NaN,common language effect size
-|Δf0|,Japanese,0.999739311783107,0.000368668811880369,NaN,NaN,common language effect size
Spectral centroid,Japanese,0.99975,0.000353553390593274,NaN,NaN,common language effect size
f0,English,0.966932299705751,0.00188028987413745,0.963246046311706,0.970618553099797,common language effect size
-|Δf0|,English,0.966951550152327,0.00228477687725016,0.962472360012788,0.971430740291866,common language effect size
Spectral centroid,English,0.634652423509097,0.00928899847003583,0.616438110894772,0.652866736123421,common language effect size
f0,Georgian,0.963730438342492,0.00210304089467941,0.959607495562048,0.967853381122937,common language effect size
-|Δf0|,Georgian,0.951184951534574,0.00256074839794528,0.946164779271443,0.956205123797705,common language effect size
Spectral centroid,Georgian,0.32339987684643,0.00857304131689743,0.306590615269753,0.340209138423107,common language effect size
f0,Puri,0.999999903391201,1.36625474192031e-07,0.999999635538467,1.00000017124393,common language effect size
-|Δf0|,Puri,0.941936952324717,0.00369217121948392,0.934696832821734,0.9491770718277,common language effect size
Spectral centroid,Puri,0.472915879954933,0.0094833355643847,0.454322233823824,0.491509526086041,common language effect size
f0,Norwegian,0.999770642201835,0.000324360908801169,NaN,NaN,common language effect size
-|Δf0|,Norwegian,0.999770642201835,0.000324360908801169,NaN,NaN,common language effect size
Spectral centroid,Norwegian,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,Kuikuro,0.999691928527418,0.000435678854705205,NaN,NaN,common language effect size
